iso                                                         sources  cit_c  r_oilgas  foreign_etr  nonres_etr  n_flags  severity                                                                                                                                                                                                                                                                                                                                                             flags
MYS                                          manual_distributed(15)  0.240       NaN        0.140       0.123        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
NAM                                            grd_distributed(472)  0.320       NaN        0.171       0.158        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
NCL                                         manual_distributed(472)  0.000       NaN        0.103       0.047        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
NER                       grd_distributed(1046), eiti_bilateral(12)  0.300       NaN        0.005       0.003        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
NLD                       eiti_bilateral(62), eiti_extrapolated(11)  0.251       NaN        0.094       0.095        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
NOR                       grd_distributed(989), eiti_bilateral(105)  0.226      0.78        0.248       0.201        1         0                                                                                                                                                                                                   Discontinuity: the amount of resource tax removed changes more than five-fold between two consecutive years, which can indicate a break in the underlying data.
OMN                                          manual_distributed(31)  0.148      0.30        0.210       0.064        1         0                                                                                                                                                                                                                                  The two resource-rate sources disagree for this country: the per-commodity rate is 0.3, but the combined effective rate is 0.55.
PAK                                         manual_distributed(124)  0.296       NaN        0.210       0.090        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
PHL                       eiti_bilateral(64), eiti_extrapolated(16)  0.292       NaN        0.176       0.184        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
PNG                        grd_distributed(341), eiti_bilateral(57)  0.300       NaN        0.120       0.122        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
POL                                         manual_distributed(701)  0.190       NaN        0.189       0.083        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
RUS                                          manual_distributed(23)  0.200      0.20        0.270       0.283        1         0                                                                                                                                                                                                                                   The two resource-rate sources disagree for this country: the per-commodity rate is 0.2, but the combined effective rate is 0.4.
SAU                                         manual_distributed(746)  0.200      0.20        0.197       0.118        1         0                                                                                                                                                                                                                                  The two resource-rate sources disagree for this country: the per-commodity rate is 0.2, but the combined effective rate is 0.85.
SDN                                            grd_distributed(865)  0.350       NaN        0.313       0.313        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
SEN                        grd_distributed(337), eiti_bilateral(86)  0.303       NaN        0.192       0.210        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
SLE                        grd_distributed(397), eiti_bilateral(38)  0.275       NaN        0.044       0.043        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
SSD                                         manual_distributed(753)  0.254       NaN        0.003       0.000        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
SUR                                            grd_distributed(953)  0.360       NaN        0.001       0.001        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TCD                        grd_distributed(508), eiti_bilateral(42)  0.350       NaN        0.011       0.011        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TGO                        eiti_bilateral(32), eiti_extrapolated(7)  0.277       NaN        0.004       0.004        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
THA                                          manual_distributed(18)  0.200       NaN        0.172       0.151        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TJK                       eiti_bilateral(23), eiti_extrapolated(14)  0.222       NaN        0.042       0.002        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TLS                        grd_distributed(213), eiti_bilateral(41)  0.100       NaN        0.013       0.002        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TTO                        grd_distributed(753), eiti_bilateral(27)  0.296       NaN        0.098       0.134        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TUN                                           grd_distributed(1020)  0.217       NaN        0.275       0.165        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
TZA                       eiti_bilateral(96), eiti_extrapolated(48)  0.300       NaN        0.126       0.116        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
UGA                        grd_distributed(335), eiti_bilateral(12)  0.300       NaN        0.042       0.055        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
UKR                                              eiti_bilateral(58)  0.180       NaN        0.229       0.243        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
USA                     manual_distributed(603), eiti_bilateral(17)  0.285      0.23        0.154       0.158        1         0                                                                                                                                                                                                      The resource tax rate is not higher than the ordinary corporate tax rate, so the ETR-gap method cannot identify any resource tax to remove for this country.
UZB                                        manual_distributed(1219)  0.129       NaN        0.015       0.005        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
VEN                                         manual_distributed(652)  0.340      0.20        0.222       0.316        1         0                                                                                                                                                                                                      The resource tax rate is not higher than the ordinary corporate tax rate, so the ETR-gap method cannot identify any resource tax to remove for this country.
VNM                                           grd_distributed(1447)  0.202       NaN        0.186       0.162        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
YEM                                         manual_distributed(332)  0.200       NaN       -0.000       0.000        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ZMB                                              eiti_bilateral(66)  0.342       NaN        0.176       0.169        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
ZWE                                         manual_distributed(472)  0.252       NaN        0.134       0.133        1         0                                                                                                                                                                                                                No oil & gas resource tax rate is recorded for this country, so the correction uses a fallback rate (see the resource profit-tax rate line above).
AUS                                         manual_distributed(536)  0.300      0.42        0.179       0.149        0         0                                                                                                                                                                                                                                                                                                                                                                ok
BRA                                         manual_distributed(491)  0.340      0.45        0.287       0.188        0         0                                                                                                                                                                                                                                                                                                                                                                ok
GBR                                             eiti_bilateral(162)  0.191      0.65        0.137       0.135        0         0                                                                                                                                                                                                                                                                                                                                                                ok
IDN                      grd_distributed(1037), eiti_bilateral(101)  0.235      0.40        0.281       0.278        0         0                                                                                                                                                                                                                                                                                                                                                                ok
IRQ                      eiti_bilateral(224), eiti_extrapolated(28)  0.150      0.35        0.197       0.122        0         0                                                                                                                                                                                                                                                                                                                                                                ok
NGA                      grd_distributed(1050), eiti_bilateral(108)  0.300      0.65        0.127       0.051        0         0                                                                                                                                                                                                                                                                                                                                                                ok
QAT                                          manual_distributed(20)  0.100      0.35        0.089       0.025        0         0                                                                                                                                                                                                                                                                                                                                                                ok
TKM                                          manual_distributed(14)  0.080      0.20        0.037       0.006        0         0                                                                                                                                                                                                                                                                                                                                                                ok
