iso3,country_name,extractive_rents_pct_gdp,data_tiers,eiti,include,drop_reason,commodity_main,resource_rate,resource_rate_source,domestic_share,domestic_share_source,status,preferred_source,preferred_source_note
BEN,,0.07,rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
BFA,Burkina Faso,5.79,eiti_bilateral|grd_distributed|rent_proxy,True,yes,,minerals,0.275,resource_profit_tax_rate.csv (minerals): CIT 27.5% on mining,0.193,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
BGD,Bangladesh,0.54,rent_proxy,False,no,rent-proxy-only and extractive rents 0.54% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BGR,,0.46,rent_proxy,False,no,rent-proxy-only and extractive rents 0.46% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BHR,Bahrain,12.71,manual_distributed,False,yes,,oil_gas,0.25,resource_profit_tax_rate.csv (oil_gas): oil income tax ~46% statutory but effective lower; ~0.25,0.9,manual_resource_revenue.csv: Bapco/Banagas state; incl. Abu Sa'fa field shared with Saudi; rough,ok,,
BIH,,0.41,rent_proxy,False,no,rent-proxy-only and extractive rents 0.41% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BLR,,0.61,rent_proxy,False,no,rent-proxy-only and extractive rents 0.61% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BLZ,,0.33,rent_proxy,False,no,rent-proxy-only and extractive rents 0.33% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BOL,Bolivia,4.45,grd_distributed|rent_proxy,False,yes,,minerals,0.57,effective_resource_cit_rates.csv (combined): Servicio Impuestos Nacionales,0.75,[med conf] NRGI Bolivia oil & gas revenue 2016 (YPFB/COMIBOL state-led),ok (researched),,
BRA,Brazil,3.07,manual_distributed,False,yes,,minerals,0.45,resource_profit_tax_rate.csv (oil_gas): CIT 34% + special participation (progressive profit-based levy up to 40%) on high-output fields,0.5,"manual_resource_revenue.csv: Brazil minerals: CFEM mining royalty (1-3.5% of revenue, Vale-dominated) [pre] + sector corporate tax 34% [post]; ~no state controlling stake since 2020 -> negligible equity. R$ bn -> /avg BRL-USD. ESTIMATE — anchor on ANM CFEM stats.",ok,,
BRB,,0.18,rent_proxy,False,no,rent-proxy-only and extractive rents 0.18% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BRN,Brunei,18.98,grd_distributed,False,yes,,oil_gas,0.55,effective_resource_cit_rates.csv (combined): MoF Brunei,0.5,[med conf] Brunei Shell Petroleum 50/50 govt-Shell JV (~90% output),ok (researched),,
BTN,,0.07,rent_proxy,False,no,rent-proxy-only and extractive rents 0.07% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
BWA,Botswana,0.48,grd_distributed,False,yes,,coal,0.22,resource_profit_tax_rate.csv (minerals): mining CIT ~22% (variable formula); royalties pre-profit,0.2,"[med conf] Botswana diamond profit in CbCR is booked by De Beers/Anglo (foreign); Debswana 50/50 govt-De Beers but the govt share is not a CbCR MNE, so the CbCR-visible resource profit is overwhelmingly foreign-booked -> low domestic_share so the correction reaches the De Beers/Anglo cells (was 1.0, set for Morupule coal). Verify.",ok (researched),,
CAF,,0.19,rent_proxy,False,no,rent-proxy-only and extractive rents 0.19% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
CAN,Canada,1.91,manual_distributed,False,yes,,minerals,0.27,resource_profit_tax_rate.csv (oil_gas): federal CIT 15% + provincial ~12-15%; royalties are pre-profit,0.4,manual_resource_revenue.csv: provincial mining taxes/royalties; CIT; Barrick/Teck/Nutrien CA + many foreign,ok,,
CHE,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
CHL,Chile,5.77,manual_distributed,False,yes,,minerals,0.35,resource_profit_tax_rate.csv (minerals): CIT 27% + old specific mining tax (IEAM) 0-14% on operating margin; ~0.35 (new 2024 royalty raises it),0.4,manual_resource_revenue.csv: COCHILCO / CEIC Chile govt mining revenue; copper-price driven; old IEAM specific mining tax pre-2024,ok,,
CHN,China,1.18,manual_distributed,False,yes,,coal,0.25,"resource_profit_tax_rate.csv (oil_gas): CIT 25% (+ special oil gain levy is on revenue, pre-profit)",0.92,"manual_resource_revenue.csv: China resource tax (资源税) from NBS Statistical Yearbook table 7-2 (general public budget revenue, central+local), 100m RMB: 951/1353/1630/1822/1755/2288/3389 for 2016-2022 (FY2018 also confirmed from MoF final-accounts page); /avg RMB-USD. Resource tax is the pre-profit royalty-like component (~1.5-6% of extraction value); the post-profit (sector CIT 25%) and equity (SOE dividends to the State-Capital-Operation budget) components are grossed up assuming resource tax ≈ 40% of the total take. Commodity split (of the resource tax) oil_gas/coal/minerals ≈ 0.42/0.43/0.15.",ok,,
CIV,Côte d'Ivoire,1.77,eiti_bilateral|rent_proxy,True,yes,,minerals,0.42,effective_resource_cit_rates.csv (combined): PSC terms,0.314,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
CMR,,2.44,eiti_bilateral|grd_distributed,True,yes,,minerals,0.385,"[low conf] Cameroon Petroleum Code (oil CIT negotiated, cap 50%; std 33%) | AUDIT 2026-07-22: rate 0.385 CONFIRMED = Cameroon petroleum CIT 38.5% (Petroleum Code Law 99/013 as amended; standard oil-company rate)",0.378,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (verified),,
COD,DR Congo,9.84,manual_distributed,False,yes,,minerals,0.3,resource_profit_tax_rate.csv (minerals): CIT 30% (2018 mining code; + super-profits levy),0.25,manual_resource_revenue.csv: EITI DRC national reports 2016-22 (user-supplied 2026-05-14). Mining: royalty 4% Cu/Co or 6% Au + special mining tax + super-profit tax + CIT 30% + Gécamines dividend / carried interest. Oil/gas: royalty + PSA entitlement + CIT + state participation (Perenco etc.).,ok,manual,EITI API pull covers only 2016/2017/2019; 2018 and 2020-22 exist in EITI national reports but not the machine-readable endpoint - national-report figures in the manual table replace the partial EITI
COG,Congo,28.52,eiti_bilateral|grd_distributed,True,yes,,oil_gas,0.35,effective_resource_cit_rates.csv (combined): Congo hydrocarbons code,0.159,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
COL,Colombia,3.86,eiti_bilateral|grd_distributed,True,yes,,coal,0.32,resource_profit_tax_rate.csv (coal): CIT ~32%; coal royalties revenue-based (pre-profit),0.728,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
CPV,,12.66,rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
CRI,,0.01,rent_proxy,False,no,rent-proxy-only and extractive rents 0.01% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
CUB,,0.66,rent_proxy,False,yes,,minerals,0.30,Cuban mining law: royalty + ~30% profit tax on JVs (Moa). AUDIT inclusion 2026-07-22,0.85,Nickel = 50/50 GNC state / Sherritt (CAN); oil = Cupet domestic + Sherritt PSCs; most take domestic. AUDIT inclusion 2026-07-22,"ok (audit inclusion, low confidence)",,
CYP,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
CZE,,0.12,rent_proxy,False,no,rent-proxy-only and extractive rents 0.12% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
DEU,Germany,0.05,eiti_bilateral,True,yes,,coal,0.3,effective_resource_cit_rates.csv (combined): BMF,0.369,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
DNK,Denmark,0.38,grd_distributed|rent_proxy,False,yes,,oil_gas,0.52,effective_resource_cit_rates.csv (combined): IMF FARI Denmark + Danish Hydrocarbon Tax Act,0.2,[high conf] Nordsofonden 20% state participation in all licences,ok (researched),,
DOM,,1.22,eiti_bilateral|rent_proxy,True,yes,,minerals,0.5375,[med conf] Pueblo Viejo Special Lease (25% CIT + 28.75% NPI after IRR hurdle),0.153,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
DZA,Algeria,17.19,manual_distributed,False,yes,,oil_gas,0.3,resource_profit_tax_rate.csv (oil_gas): Sonatrach + partners; complex hydrocarbon tax; ~30% profit-based,0.95,manual_resource_revenue.csv: Algeria hydrocarbon CIT (TPP + petroleum-specific taxes) + Sonatrach (100% state) dividends. IMF Art IV reports. Revised 2026-05 from 30/45/25. Confidence med.,ok,,
ECU,Ecuador,4.88,manual_distributed,True,yes,,minerals,0.35,effective_resource_cit_rates.csv (combined): SRI,0.8,[med conf] EP Petroecuador operates ~80-82% of national crude; foreign service-contract operators ~18-20% (EITI Ecuador; IMF CR21/228 service-contract payments). Was 0.549.,ok (manual override of broken EITI; hand-collected 2026-06),manual,"EITI bilateral broken/thin (raw company payments ~$4.2B 2016-22 vs ~$30-40B actual oil revenue, collapsing to $0 once unmatched companies drop); manual = state oil revenue + sector CIT + Petroecuador surplus"
EGY,Egypt,4.93,grd_distributed,False,yes,,minerals,0.425,effective_resource_cit_rates.csv (combined): ETA + petroleum law,0.7,[med conf] ICLG/CMS Egypt oil & gas 2024-26 (EGPC-led),ok (researched),,
ESP,Spain,0.04,rent_proxy,False,no,rent-proxy-only and extractive rents 0.04% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
EST,,0.73,rent_proxy,False,no,rent-proxy-only and extractive rents 0.73% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
ETH,,0.11,eiti_bilateral|rent_proxy,True,yes,,coal,0.25,[high conf] Ethiopia Mining Income Tax Proclamation (25% mining profit tax),0.378,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
FIN,,0.1,rent_proxy,False,no,rent-proxy-only and extractive rents 0.10% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
FJI,,0.49,rent_proxy,False,no,rent-proxy-only and extractive rents 0.49% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
FRA,,0.01,rent_proxy,False,no,rent-proxy-only and extractive rents 0.01% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
GAB,Gabon,14.24,eiti_bilateral|grd_distributed,True,yes,,minerals,0.35,effective_resource_cit_rates.csv (combined): Gabon Hydrocarbons Code,0.327,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
GBR,United Kingdom,0.45,eiti_bilateral,True,yes,,minerals,0.65,"resource_profit_tax_rate.csv (oil_gas): ring-fence CT 30% + supplementary charge 10-32% (+ energy profits levy from 2022, 35-75%); period-average ~0.65",0.27,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
GEO,,0.66,rent_proxy,False,no,rent-proxy-only and extractive rents 0.66% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
GHA,Ghana,5.55,eiti_bilateral|grd_distributed,True,yes,,minerals,0.32,resource_profit_tax_rate.csv (minerals): CIT 35% on mining minus rebates; ~0.32 effective,0.282,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
GIN,Guinea,4.15,eiti_bilateral|grd_distributed,True,yes,,minerals,0.3,resource_profit_tax_rate.csv (minerals): CIT 30%; bauxite royalties are revenue-based,0.051,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
GNQ,Equatorial Guinea,20.06,grd_distributed,False,yes,,oil_gas,0.35,effective_resource_cit_rates.csv (combined): IMF,0.3,"[low conf] World Oil 2024 (ExxonMobil exit, GEPetrol takes Zafiro)",verify (low-confidence value),,
GRC,,0.07,rent_proxy,False,no,rent-proxy-only and extractive rents 0.07% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
GTM,,0.55,eiti_bilateral|rent_proxy,True,yes,,minerals,0.25,[high conf] PwC WTS Guatemala 2024-25 (25% net-income CIT),0.381,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
GUY,Guyana,10.84,eiti_bilateral|rent_proxy,True,yes,,minerals,0.5,effective_resource_cit_rates.csv (combined): PSC Stabroek block,0.054,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
HND,,0.11,eiti_bilateral|rent_proxy,True,yes,,minerals,0.3025,[high conf] PwC WTS Honduras 2024 (25% CIT + 5% solidarity surcharge),0.25,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
HRV,,0.37,rent_proxy,False,no,rent-proxy-only and extractive rents 0.37% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
HUN,,0.2,rent_proxy,False,no,rent-proxy-only and extractive rents 0.20% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
IDN,Indonesia,3.01,eiti_bilateral|grd_distributed,True,yes,,coal,0.4,resource_profit_tax_rate.csv (oil_gas): PSC contractor income tax ~28-40%; profit-oil split is equity-side,0.27,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
IND,,1.96,manual_distributed,False,yes,,coal,0.25,[high conf] Coal India FY2024-25 ETR ~24.8%; PwC WTS 2025 (concessional ~25.17%),0.65,"manual_resource_revenue.csv: India coal: ESTIMATE — coal royalty (state, ~14% of pithead value) + GST-compensation cess on coal (₹400/t) [pre]; Coal India/SCCL corporate tax [post]; Coal India dividend to govt [equity]. PENDING the Coal Directory (coalcontroller.gov.in) / Ministry of Coal figures.",ok (researched),,
IRL,,0.07,rent_proxy,False,no,rent-proxy-only and extractive rents 0.07% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
IRN,Iran,24.38,manual_distributed,False,yes,,oil_gas,0.25,resource_profit_tax_rate.csv (oil_gas): NIOC; opaque; ~25% effective profit-based component,1.0,manual_resource_revenue.csv: NIOC 100% state; sanctions-affected; most state take via NOC channel rather than CIT. Revised 2026-05 from 30/30/40. Confidence low. | AUDIT 2026-07-22: dom -> 1.0 (no foreign upstream producer; phantom generic slice removed),ok,,
IRQ,Iraq,38.34,eiti_bilateral,True,yes,,oil_gas,0.35,resource_profit_tax_rate.csv (oil_gas): service-contract IOCs pay ~35% income tax on their fee profit,0.006,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
ISR,Israel,0.25,rent_proxy,False,yes,,oil_gas,0.35,CIT 23% + Sheshinski excess-profits levy 20-50% (R-factor); blended ~0.35. AUDIT inclusion 2026-07-22,0.65,"Tamar/Leviathan partnerships: Chevron (ex-Noble) ~35-40% working interest = the foreign leg; Delek/NewMed, Ratio, Isramco domestic. AUDIT inclusion 2026-07-22",ok (audit inclusion),,
ITA,Italy,0.07,rent_proxy,False,no,rent-proxy-only and extractive rents 0.07% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
JAM,,0.75,rent_proxy,False,no,rent-proxy-only and extractive rents 0.75% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
JOR,Jordan,0.46,rent_proxy,False,no,rent-proxy-only and extractive rents 0.46% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
JPN,Japan,0.03,rent_proxy,False,no,rent-proxy-only and extractive rents 0.03% of GDP < 1% (forest excluded),,,,,,"excluded — not a resource country | AUDIT 2026-07-22: inclusion checked and REJECTED for materiality - domestic extraction negligible (INPEX/JAPEX small gas fields, no royalty regime of scale; take <$50m/yr)",,
KAZ,Kazakhstan,17.38,eiti_bilateral|grd_distributed,True,yes,,coal,0.4,resource_profit_tax_rate.csv (oil_gas): CIT 20% + excess profit tax + rent tax on exports; ~0.40 profit-based blended,0.352,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
KEN,,0.01,rent_proxy,False,no,rent-proxy-only and extractive rents 0.01% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
KGZ,Kyrgyz Republic,7.37,eiti_bilateral|rent_proxy,True,yes,,coal,0.1,effective_resource_cit_rates.csv (combined): STS,0.125,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
KHM,Cambodia,0.01,rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
KOR,South Korea,0.05,rent_proxy,False,no,rent-proxy-only and extractive rents 0.05% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
KWT,Kuwait,36.68,manual_distributed,False,yes,,oil_gas,0.15,resource_profit_tax_rate.csv (oil_gas): no CIT on KPC; state takes revenue directly — most is equity-side; small profit-based component,1.0,manual_resource_revenue.csv: KPC 100% state — most is the state's direct oil revenue; rough | AUDIT 2026-07-22: dom -> 1.0 (no foreign upstream producer; phantom generic slice removed),ok,,
LAO,Lao PDR,2.19,manual_distributed,False,yes,,minerals,0.24,effective_resource_cit_rates.csv (combined): MoF Laos,0.2,manual_resource_revenue.csv: Laos mining (Sepon copper/gold - MMG then Chifeng/Zijin; Phu Bia gold): royalty + natural-resource tax [pre] + profit tax [post] + state free-equity stakes [equity]. ESTIMATE.,ok,,
LBR,Liberia,1.21,eiti_bilateral|rent_proxy,True,yes,,minerals,0.3,effective_resource_cit_rates.csv (combined): LRA,0.149,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
LBY,Libya,28.77,manual_distributed,False,yes,,oil_gas,0.5,resource_profit_tax_rate.csv (oil_gas): EPSA/concession income tax; ~0.50; highly disrupted period,0.72,manual_resource_revenue.csv: Libya MoF Revenue Statement (cited in 2021-22 rows); regime structurally the same 2016-2020. Revised 2026-05.,ok,,
LKA,Sri Lanka,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
LSO,,0.0,manual_distributed,False,yes,,minerals,0.25,[high conf] Revenue Services Lesotho (25% CIT on diamond mining; 10% is royalty),0.25,"manual_resource_revenue.csv: Lesotho diamonds (Letseng/Gem Diamonds, Liqhobong): royalty 8-10% [pre] + mining CIT [post] + govt stakes (Letseng 30%) [equity]. ESTIMATE — WB rents data doesn't capture small diamond mines.",ok (researched),,
LTU,,0.02,rent_proxy,False,no,rent-proxy-only and extractive rents 0.02% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
LVA,,0.05,rent_proxy,False,no,negligible extractives — no real oil/mining production (web research),,,,,,excluded — not a resource country,,
MAR,Morocco,1.44,manual_distributed,False,yes,,minerals,0.31,resource_profit_tax_rate.csv (minerals): CIT ~31% on OCP; phosphate royalties small,0.95,manual_resource_revenue.csv: OCP state-dominant (95%+); CIT on phosphate profits + dividends to state. Revised 2026-05 from 10/50/40. Confidence low — needs OCP financial statement review.,ok,,
MDA,,0.01,rent_proxy,False,no,rent-proxy-only and extractive rents 0.01% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
MDG,,0.14,eiti_bilateral|grd_distributed,True,yes,,coal,0.25,[high conf] Madagascar LGIM large-mining 25% CIT (Ambatovy),0.343,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
MEX,Mexico,2.28,manual_distributed,False,yes,,oil_gas,0.3,resource_profit_tax_rate.csv (oil_gas): Pemex special regime ~30% + DUC; reformed-contract IOCs ~30% CIT,0.85,"manual_resource_revenue.csv: Mexico Pemex fiscal contribution 2016: Derecho Petrolero $15.0B (pre) + ISR petrolero $5.0B (post) + dividend/equity-stake transfers $5.0B. Sources: SHCP Estadísticas Oportunas, Pemex 20-F annual reports. Component splits estimated.",ok,manual,EITI bilateral is very thin (Pemex does not report to EITI); manual = Pemex fiscal contribution (SHCP / 20-F sourced)
MKD,,0.28,rent_proxy,False,no,rent-proxy-only and extractive rents 0.28% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
MLI,Mali,7.36,eiti_bilateral|grd_distributed,True,yes,,minerals,0.3,resource_profit_tax_rate.csv (minerals): CIT 30% on mining,0.027,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
MMR,Myanmar,4.2,eiti_bilateral|grd_distributed|rent_proxy,True,yes,,coal,0.25,effective_resource_cit_rates.csv (combined): Internal Revenue Dept,0.33,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
MNE,,0.34,rent_proxy,False,no,rent-proxy-only and extractive rents 0.34% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
MNG,Mongolia,17.85,eiti_bilateral|grd_distributed,True,yes,,coal,0.3,effective_resource_cit_rates.csv (combined): MTA + Minerals Law,0.329,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
MOZ,Mozambique,6.3,eiti_bilateral,True,yes,,coal,0.32,effective_resource_cit_rates.csv (combined): Mozambique petroleum code,0.0,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
MRT,,4.46,eiti_bilateral|grd_distributed,True,yes,,coal,0.25,[high conf] Mauritania Mining Code 2012 (25% CIT) + PwC WTS 2024,0.307,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
MUS,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
MWI,,0.03,eiti_bilateral|rent_proxy,True,yes,,coal,0.3,[med conf] Malawi Taxation Act 11th Sch (mining 30%; conditional 15% RRT on top),0.351,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok (researched),,
MYS,Malaysia,4.24,manual_distributed,False,yes,,oil_gas,0.38,effective_resource_cit_rates.csv (combined): IRBM + PITA,0.85,"manual_resource_revenue.csv: Malaysia oil & gas (Petronas + PSC contractors): royalty 5% + petroleum export duties [pre] + petroleum income tax 38% [post] + Petronas dividend to the federal govt [equity, ~half of the total]. RM bn -> /avg MYR-USD. Anchored on headline Petronas-contribution figures (2022 ~RM55-59bn, dividends RM50bn 2022 / RM24bn 2019 / RM40bn 2023). Source: Petronas annual reports / Malaysian MoF budget revenue tables — needs the year-by-year breakdown.",ok,,
NAM,Namibia,1.67,grd_distributed,False,yes,,minerals,0.375,resource_profit_tax_rate.csv (minerals): non-diamond mining CIT 37.5%; diamonds 55%,0.2,[med conf] Namdeb 50/50 + uranium low state share; diamond/uranium weighted,ok (researched),,
NCL,New Caledonia,2.96,manual_distributed,False,yes,,minerals,0.3,effective_resource_cit_rates.csv (combined): DSF + nickel code,0.4,[med conf] USGS MYB 2020-21 + SLN/SMSP (output-weighted; sensitive to active plants),ok (hand-collected manual entry),,
NER,Niger,1.26,eiti_bilateral|grd_distributed,True,yes,,coal,0.3,effective_resource_cit_rates.csv (combined): DGI Niger,0.108,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
NGA,Nigeria,6.13,eiti_bilateral|grd_distributed,True,yes,,coal,0.65,resource_profit_tax_rate.csv (oil_gas): PPT 50% (deepwater PSCs) to 85% (onshore JVs); period blend ~0.65,0.225,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
NIC,,0.89,rent_proxy,False,no,rent-proxy-only and extractive rents 0.89% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
NLD,Netherlands,0.25,eiti_bilateral|rent_proxy,True,yes,,oil_gas,0.5,effective_resource_cit_rates.csv (combined): Mining Act 2003 + Belastingdienst,0.883,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
NOR,Norway,6.14,eiti_bilateral|grd_distributed,True,yes,,coal,0.78,resource_profit_tax_rate.csv (oil_gas): CIT 22% + special petroleum tax 56%,0.58,derived from this country's EITI payment streams (domestic NOC vs foreign HQ shares),ok,,
NPL,,0.0,rent_proxy,False,no,rent-proxy-only and extractive rents 0.00% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
NZL,,0.48,rent_proxy,False,yes,,oil_gas,0.28,"No special petroleum tax - royalty (AVR/APR, pre-profit) + ordinary CIT 28%. MBIE royalty regime. AUDIT inclusion 2026-07-22",0.35,"Todd Energy ~30-35% domestic; OMV (AUT, ex-Shell assets 2018) largest producer; Beach (AUS) Kupe. AUDIT inclusion 2026-07-22",ok (audit inclusion),,
OMN,Oman,23.25,manual_distributed,False,yes,,oil_gas,0.3,resource_profit_tax_rate.csv (oil_gas): income tax ~15-30% + EPSA share; ~0.30 profit-based,0.62,manual_resource_revenue.csv: Oman State General Budget guides (2015-2026 MoF) distinguish Oil revenue + Gas revenue. PDO (60% state / 34% Shell / 34% Total / 4% Partex) operating regime: royalty + cost-oil/profit-oil + IOC CIT. State NOC dividend channel exists but is smaller than for ARE/SAU. Revised 2026-05 to 45/30/25 from 30/25/45.,ok,,
PAK,Pakistan,1.06,manual_distributed,False,yes,,oil_gas,0.4,effective_resource_cit_rates.csv (combined): FBR + petroleum policy,0.955,[high conf] SECMC Thar coal (control-share basis; ~0.87-0.91 on total equity),ok (hand-collected manual entry),,
PAN,,0.71,rent_proxy,False,no,rent-proxy-only and extractive rents 0.71% of GDP < 1% (forest excluded),,,,,,excluded — not a resource country,,
