iso3,country_name,resource_revenue_usd,year,source,confidence,prefer_over_eiti,notes
SRB,Serbia,400000000,2023,"Ministry of Finance + NIS annual report + Serbian Mining Agency",low,FALSE,"Oil (NIS/Gazprom Neft) + copper (Zijin-Bor)"
BLR,Belarus,800000000,2022,"IMF Article IV (2022) + Ministry of Finance execution reports",low,FALSE,"Potash (Belaruskali); oil refining transit"
NCL,New Caledonia,300000000,2023,"Government of New Caledonia — nickel royalty reports (SLN/KNS)",medium,FALSE,"Nickel royalty; SOE structure complicates"
#
# CATEGORY 2 — EITI override: countries with stale or scope-limited EITI data where manual estimate is more reliable
USA,United States,32000000000,2023,"ONRR Statistical Information (ONRR.gov) + NCSL State Tax Actions + Tax Policy Center severance tax compilation; includes federal (ONRR onshore + offshore ~US$12B) and state severance/royalties (TX/AK/ND/WY/NM/OK/LA ~US$20B)",medium,TRUE,"US withdrew from EITI in November 2017; remaining EITI data (2015) is federal-only and excludes state severance taxes which are the bulk of US extractive revenue"
AZE,Azerbaijan,10000000000,2022,"State Oil Fund (SOFAZ) annual report + Ministry of Finance execution; SOCAR profit transfers",low,TRUE,"EITI data is 2015-only; SOFAZ transfers + SOCAR taxes + signature bonuses have shifted significantly post-2015"
COG,Congo (Brazzaville),2500000000,2022,"Ministère des Finances — loi de règlement + SNPC reports",low,TRUE,"EITI 2017 data is stale; oil dominates; SOE SNPC complicates measurement"
CMR,Cameroon,1000000000,2022,"Ministère des Finances + SNH (National Hydrocarbons Corp) annual reports",low,TRUE,"EITI 2017 is stale; oil revenue declined with field maturity"
CIV,Côte d'Ivoire,800000000,2023,"Ministère du Budget + PETROCI reports",low,TRUE,"EITI 2018 stale; growing gas + newly discovered Baleine oil field"
MMR,Myanmar,1500000000,2022,"CHRB + EITI estimates pre-2018 extrapolation (partial data post-2021 military coup)",low,TRUE,"EITI 2018 stale; gas dominant; sanctions and coup complicate reporting; estimate is best available"
YEM,Yemen,300000000,2023,"IMF Article IV + news estimates; extraction largely halted by civil war",low,TRUE,"EITI 2011 is ancient and reflected pre-war levels (US$5.5B); actual current capture tiny"
CAF,Central African Republic,30000000,2023,"Ministère des Finances budget execution",low,TRUE,"EITI 2010 ancient; diamonds + gold; small fiscal capacity"
SLB,Solomon Islands,5000000,2023,"Ministry of Finance + logging/mining reports",low,TRUE,"EITI 2015 stale; extractive sector minimal"
# NOTES on coverage gaps NOT filled here:
# - UK (2023): EITI data recent, covers offshore-dominated production → reliable as-is
# - Norway (2023): EITI captures full fiscal take incl. oil fund transfers → reliable
# - Indonesia (2021): EITI includes PSC cost-recovery flows which inflates apparent capture → acknowledged caveat but no simple adjustment
# - Mexico: GRD value used (low at $0.8B); Pemex dividend flows may not be fully captured but GRD priority stands
# - African countries with fresh EITI (2020+): trusted without manual override
